"","name_bore","legume_grass"
"1","Barberry Woods",0.0224358974358974
"2","Briar",0.307189542483661
"3","Broad Meadow",0.121212121212121
"4","Bull",0.092358803986711
"5","Drainage",0.331306990881459
"6","Drainage",0.068693009118541
"7","GP1A",0.261541068532281
"8","GP1B",0.097196261682243
"9","GP2A",0.348017621145374
"10","GP2B",0.319553072625698
"11","GP3",0.362251655629139
"12","GP4A",0.228358208955224
"13","GP4B",0.257142857142857
"14","GP4C",0.353694581280788
"15","GP5A",0.121538461538462
"16","GP5B",0.246006389776358
"17","GP5C",0.012448132780083
"18","GP5D",0.586029411764706
"19","GP6A",0.288461538461538
"20","GP6B",0.0618181818181818
"21","GP6C",0.316205533596838
"22","GP7",0.311578947368421
"23","GP7A",0.316091954022989
"24","GP8A",0.54625
"25","GP8B",0.448305084745763
"26","GP8C",0.111570247933342
"27","Horse",0.211188811188811
"28","Jimmy's Wet Meadow",0.0504587155963303
"29","Lamson Hill",0.0876712328767123
"30","Lamson Middle",0.436065573770491
"31","Lamson North",0.320645161290323
"32","Leo's",0.366548042704626
"33","Long Causeway",0
"34","Long Meadow",0.00598802395209581
"35","Lower Barberry",0.30635838150289
"36","Lower Sunset",0.113531353135314
"37","Lower Triangle",0.421487603305785
"38","Lower Underhill",0.0228070175438596
"39","POW West",0.0447552447552448
"40","Plains",0.892307692307692
"41","Plains Woods North",0.0658307210031348
"42","Playground",0.665594855305466
"43","Playground Pond",0.0306513409961686
"44","Pond",0.0069204152249135
"45","Sunset Field",0.442666666666667
"46","Sunset Hill",0.508510638297872
"47","Underhill",0.216289592760181
"48","Underhill Wet Meadow",0.0835820895522388
"49","Upper Triangle",0.399141630901288
"50","Williams 1A",0.537815126050421
"51","Williams Central",0.20440251572327
"52","Williams West",0.266666666666667
"53","Wilson",0.368146214099217
