"","field","harvest_cycle","herd","acres_impacted","day_in","day_out","hay_in","hay_out","mow_in","cowharvest","hayharvest","harvest","sum","harvest_acres","sum_acres"
"1","Barberry Woods",1,"feeders",10.44,NA,2544,NA,NA,NA,NA,NA,0,0,0,0
"2","Barberry Woods",2,"feeders",10.44,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"3","Briar",1,"brood",7.73,1802,1522,NA,NA,NA,280,NA,280,1490.2,2164.4,11055.988
"4","Briar",2,"hay",7,NA,NA,3252,2617.4,NA,NA,634.6,634.6,1490.2,4442.2,11055.988
"5","Briar",3,"feeders",7.73,2601.6,2026,NA,NA,NA,575.6,NA,575.6,1490.2,4449.388,11055.988
"6","Broad Meadow",1,"hay",2,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"7","Broad Meadow",2,"hay",2,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"8","Broad Meadow 1a",1,"hay",0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"9","Broad Meadow Dry",1,"hay",0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"10","Bull",0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,728,0,4295.2
"11","Bull",1,"feeders",5.9,3538,2810,NA,NA,NA,728,NA,728,728,4295.2,4295.2
"12","Bull",2,"feeders",5.9,NA,NA,NA,NA,NA,NA,NA,0,728,0,4295.2
"13","Crabby",0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"14","Drainage",1,"feeders",9.33,3776,2614,NA,NA,NA,1162,NA,1162,3656,10841.46,43587.68
"15","Drainage",2,"feeders",13.13,3745,2749,NA,NA,NA,996,NA,996,3656,13077.48,43587.68
"16","Drainage",3,"feeders",13.13,4126,2628,NA,NA,NA,1498,NA,1498,3656,19668.74,43587.68
"17","GP Woods",1,"brood",2.3,1970,1793,NA,NA,NA,177,NA,177,177,407.1,407.1
"18","GP1A",1,"brood",8,NA,1270,NA,NA,NA,NA,NA,0,1918,0,9054.5
"19","GP1A",2,"brood",5.25,4252,3146,NA,NA,NA,1106,NA,1106,1918,5806.5,9054.5
"20","GP1A",3,"brood",8,4126,3720,NA,NA,NA,406,NA,406,1918,3248,9054.5
"21","GP1A",3,NA,0,NA,NA,NA,NA,2880,NA,NA,406,1918,0,9054.5
"22","GP1A",4,"brood",8,2936,NA,NA,NA,NA,NA,NA,0,1918,0,9054.5
"23","GP1A",5,"brood",8,2040,NA,NA,NA,NA,NA,NA,0,1918,0,9054.5
"24","GP1A",5,NA,8,NA,NA,NA,NA,NA,NA,NA,0,1918,0,9054.5
"25","GP1B",1,"brood",7.04,4150,2516,NA,NA,NA,1634,NA,1634,4220.2,11503.36,18206.848
"26","GP1B",1,NA,0,NA,NA,NA,NA,5134,NA,NA,1634,4220.2,0,18206.848
"27","GP1B",2,"brood",7.04,3538,2585.8,NA,NA,NA,952.2,NA,952.2,4220.2,6703.488,18206.848
"28","GP1B",3,"brood",7.04,2502,NA,NA,NA,NA,NA,NA,0,4220.2,0,18206.848
"29","GP1B",4,"brood",7.04,2040,NA,NA,NA,NA,NA,NA,0,4220.2,0,18206.848
"30","GP2A",1,"brood",3.75,3888,3524,NA,NA,NA,364,NA,364,3145.2,1365,10429.5
"31","GP2A",1,NA,0,NA,NA,NA,NA,3230,NA,NA,364,3145.2,0,10429.5
"32","GP2A",2,"brood",3.75,3897.2,2460,NA,NA,NA,1437.2,NA,1437.2,3145.2,5389.5,10429.5
"33","GP2A",3,"brood",3.75,3020,2040,NA,NA,NA,980,NA,980,3145.2,3675,10429.5
"34","GP2B",1,"brood",8.19,4630,2432,NA,NA,NA,2198,NA,2198,3341.9,18001.62,27370.161
"35","GP2B",2,"brood",8.19,3034,2562.1,NA,NA,NA,471.9,NA,471.9,3341.9,3864.861,27370.161
"36","GP2B",3,"brood",8.19,2936,2264,NA,NA,NA,672,NA,672,3341.9,5503.68,27370.161
"37","GP3",1,"brood",14.68,3959,1938.5,NA,NA,NA,2020.5,NA,2020.5,4110,29660.94,83024.88
"38","GP3",2,"brood",24.86,4574,3093.5,NA,NA,NA,1480.5,NA,1480.5,4110,36805.23,83024.88
"39","GP3",3,"brood",27.19,2772,2163,NA,NA,NA,609,NA,609,4110,16558.71,83024.88
"40","GP4A",1,"brood",4.53,3076,2527,NA,NA,NA,549,NA,549,549,2486.97,2486.97
"41","GP4A",2,"brood",4.53,3846,NA,NA,NA,NA,NA,NA,0,549,0,2486.97
"42","GP4A",2,NA,0,NA,NA,NA,NA,NA,NA,NA,0,549,0,2486.97
"43","GP4A",3,"brood",4.53,2992,NA,NA,NA,NA,NA,NA,0,549,0,2486.97
"44","GP4B",1,"brood",3.42,3202,2012,NA,NA,NA,1190,NA,1190,3990,4069.8,8857.8
"45","GP4B",2,"brood",3.42,4728,3328,NA,NA,NA,1400,NA,1400,3990,4788,8857.8
"46","GP4B",2,NA,0,NA,NA,NA,NA,2824,NA,NA,1400,3990,0,8857.8
"47","GP4B",3,"brood",3.42,2980.8,NA,NA,NA,NA,NA,NA,0,3990,0,8857.8
"48","GP4C",1,"brood",3.42,3160,2740,NA,NA,NA,420,NA,420,3080.6,1436.4,7184.052
"49","GP4C",2,"brood",3.42,3482,2502,NA,NA,NA,980,NA,980,3080.6,3351.6,7184.052
"50","GP4C",2,NA,0,NA,NA,NA,NA,2516,NA,NA,980,3080.6,0,7184.052
"51","GP4C",3,"brood",3.42,2838.6,2138,NA,NA,NA,700.6,NA,700.6,3080.6,2396.052,7184.052
"52","GP5A",1,"brood",2.76,4466,2292,NA,NA,NA,2174,NA,2174,2174,6000.24,6000.24
"53","GP5A",2,"brood",2.76,2949.2,NA,NA,NA,NA,NA,NA,0,2174,0,6000.24
"54","GP5B",1,"brood",5.05,3608,3676,NA,NA,NA,-68,NA,0,2078,0,10493.9
"55","GP5B",2,"brood",5.05,4538,2460,NA,NA,NA,2078,NA,2078,2078,10493.9,10493.9
"56","GP5C",1,"brood",2.61,3888,2180,NA,NA,NA,1708,NA,1708,1708,4457.88,4457.88
